Execute Script? (Admin Only),Script File Name,Run As UserName,TWGQA2D,successs,error
True,GB-2317,BillingStatementUser,True,True,
True,GB-2318,BillingStatementUser,True,True,
True,GB-2319,BillingStatementUser,True,True,
True,GB-2320,BillingStatementUser,True,True,
True,GB-2322,BillingStatementUser,True,True,
True,GB-2323,BillingStatementUser,True,True,
True,GB-2325,BillingStatementUser,True,True,
True,GB-2326,BillingStatementUser,True,True,
True,GB-2327,BillingStatementUser,True,True,
True,GB-2328,BillingStatementUser,True,True,
True,GB-2330,SystemIntegrationUser,True,True,
True,GB-2331,SystemIntegrationUser,True,True,
True,GB-2333,SystemIntegrationUser,True,True,
True,GB-2335,SystemIntegrationUser,True,True,
True,GB-2336,SystemIntegrationUser,True,True,
